1,魚,飲料,酒類,パン類,,,,,
2,肉,野菜,雑貨,調味料,乳製品,パン類,,,
3,肉,野菜,調味料,乳製品,パン類,,,,
4,肉,魚,野菜,雑貨,調味料,乳製品,飲料,パン類,
5,魚,雑貨,調味料,,,,,,
6,魚,飲料,酒類,パン類,,,,,
7,雑貨,調味料,乳製品,パン類,,,,,
8,肉,雑貨,調味料,乳製品,たばこ,パン類,,,
9,魚,雑貨,乳製品,たばこ,パン類,,,,
10,肉,魚,飲料,酒類,,,,,
11,野菜,たばこ,,,,,,,
12,魚,野菜,パン類,,,,,,
13,野菜,乳製品,パン類,,,,,,
14,魚,乳製品,,,,,,,
15,肉,調味料,,,,,,,
16,肉,魚,野菜,雑貨,調味料,乳製品,飲料,パン類,
17,野菜,雑貨,調味料,飲料,,,,,
18,野菜,乳製品,,,,,,,
19,肉,調味料,,,,,,,
20,肉,飲料,パン類,,,,,,
21,肉,飲料,,,,,,,
22,肉,野菜,調味料,乳製品,パン類,,,,
23,魚,雑貨,調味料,酒類,,,,,
24,野菜,乳製品,パン類,,,,,,
25,魚,調味料,乳製品,パン類,,,,,
26,魚,雑貨,酒類,パン類,,,,,
27,肉,野菜,調味料,酒類,パン類,,,,
28,肉,魚,野菜,雑貨,調味料,乳製品,,,
29,野菜,乳製品,パン類,,,,,,
30,肉,調味料,乳製品,,,,,,
31,魚,調味料,飲料,酒類,,,,,
32,肉,魚,雑貨,たばこ,,,,,
33,野菜,乳製品,たばこ,,,,,,
34,肉,野菜,雑貨,調味料,乳製品,パン類,,,
35,肉,魚,酒類,たばこ,パン類,,,,
36,乳製品,酒類,,,,,,,
37,野菜,パン類,,,,,,,
38,肉,調味料,乳製品,飲料,酒類,パン類,,,
39,肉,魚,,,,,,,
40,魚,雑貨,飲料,パン類,,,,,
41,魚,野菜,雑貨,飲料,酒類,,,,
42,肉,調味料,飲料,,,,,,
43,魚,飲料,酒類,,,,,,
44,魚,パン類,,,,,,,
45,肉,魚,野菜,雑貨,乳製品,飲料,パン類,,
46,肉,魚,調味料,酒類,パン類,,,,
47,肉,魚,野菜,雑貨,調味料,乳製品,,,
48,魚,飲料,酒類,,,,,,
49,飲料,酒類,パン類,,,,,,
50,肉,乳製品,酒類,パン類,,,,,
51,野菜,乳製品,酒類,パン類,,,,,
52,野菜,乳製品,,,,,,,
53,野菜,乳製品,たばこ,,,,,,
54,雑貨,調味料,乳製品,飲料,パン類,,,,
55,野菜,乳製品,酒類,,,,,,
56,酒類,たばこ,パン類,,,,,,
57,肉,野菜,調味料,パン類,,,,,
58,野菜,たばこ,パン類,,,,,,
59,魚,野菜,調味料,乳製品,,,,,
60,肉,雑貨,調味料,乳製品,パン類,,,,
61,肉,魚,野菜,酒類,,,,,
62,魚,野菜,乳製品,パン類,,,,,
63,雑貨,飲料,酒類,たばこ,パン類,,,,
64,肉,調味料,飲料,,,,,,
65,魚,野菜,乳製品,,,,,,
66,肉,野菜,調味料,,,,,,
67,魚,野菜,雑貨,調味料,酒類,,,,
68,酒類,パン類,,,,,,,
69,魚,飲料,,,,,,,
70,肉,魚,野菜,乳製品,パン類,,,,
71,酒類,たばこ,,,,,,,
72,魚,酒類,たばこ,,,,,,
73,魚,飲料,たばこ,,,,,,
74,野菜,乳製品,,,,,,,
75,野菜,乳製品,たばこ,パン類,,,,,
76,乳製品,パン類,,,,,,,
77,魚,野菜,乳製品,,,,,,
78,肉,乳製品,飲料,,,,,,
79,肉,パン類,,,,,,,
80,肉,調味料,パン類,,,,,,
81,野菜,乳製品,パン類,,,,,,
82,魚,酒類,たばこ,,,,,,
83,肉,乳製品,パン類,,,,,,
84,魚,野菜,乳製品,パン類,,,,,
85,魚,雑貨,飲料,たばこ,パン類,,,,
86,魚,飲料,,,,,,,
87,魚,雑貨,酒類,,,,,,
88,肉,飲料,,,,,,,
89,肉,魚,野菜,,,,,,
90,乳製品,パン類,,,,,,,
91,肉,酒類,,,,,,,
92,魚,雑貨,たばこ,,,,,,
93,野菜,雑貨,酒類,,,,,,
94,肉,雑貨,調味料,乳製品,飲料,,,,
95,肉,魚,乳製品,酒類,パン類,,,,
96,野菜,乳製品,たばこ,,,,,,
97,肉,魚,野菜,雑貨,調味料,乳製品,飲料,パン類,
98,たばこ,パン類,,,,,,,
99,野菜,乳製品,,,,,,,
100,肉,魚,雑貨,酒類,パン類,,,,
101,魚,野菜,雑貨,調味料,たばこ,パン類,,,
102,野菜,乳製品,たばこ,パン類,,,,,
103,野菜,乳製品,パン類,,,,,,
104,肉,魚,,,,,,,
105,肉,魚,野菜,雑貨,調味料,乳製品,,,
106,魚,野菜,乳製品,パン類,,,,,
107,野菜,乳製品,たばこ,,,,,,
108,野菜,乳製品,パン類,,,,,,
109,肉,魚,野菜,調味料,乳製品,パン類,,,
110,野菜,乳製品,,,,,,,
111,乳製品,たばこ,,,,,,,
112,肉,乳製品,,,,,,,
113,肉,調味料,パン類,,,,,,
114,肉,調味料,パン類,,,,,,
115,肉,魚,雑貨,調味料,乳製品,パン類,,,
116,魚,野菜,雑貨,飲料,,,,,
117,調味料,乳製品,,,,,,,
118,魚,野菜,乳製品,パン類,,,,,
119,魚,野菜,乳製品,,,,,,
120,肉,魚,雑貨,乳製品,パン類,,,,
121,魚,たばこ,,,,,,,
122,魚,雑貨,酒類,パン類,,,,,
123,魚,雑貨,飲料,酒類,たばこ,,,,
124,野菜,乳製品,パン類,,,,,,
125,魚,飲料,酒類,たばこ,パン類,,,,
126,肉,調味料,パン類,,,,,,
127,肉,調味料,乳製品,パン類,,,,,
128,肉,魚,野菜,雑貨,調味料,乳製品,パン類,,
129,肉,調味料,パン類,,,,,,
130,乳製品,パン類,,,,,,,
131,魚,野菜,調味料,乳製品,パン類,,,,
132,野菜,たばこ,パン類,,,,,,
133,魚,野菜,乳製品,パン類,,,,,
134,野菜,乳製品,パン類,,,,,,
135,野菜,乳製品,パン類,,,,,,
136,肉,雑貨,乳製品,,,,,,
137,肉,たばこ,パン類,,,,,,
138,野菜,乳製品,,,,,,,
139,野菜,乳製品,,,,,,,
140,魚,雑貨,酒類,,,,,,
141,乳製品,パン類,,,,,,,
142,野菜,パン類,,,,,,,
143,雑貨,乳製品,飲料,パン類,,,,,
144,魚,雑貨,酒類,,,,,,
145,肉,野菜,雑貨,飲料,パン類,,,,
146,肉,魚,調味料,乳製品,パン類,,,,
147,野菜,パン類,,,,,,,
148,野菜,雑貨,飲料,酒類,パン類,,,,
149,魚,雑貨,飲料,,,,,,
150,野菜,乳製品,,,,,,,
151,乳製品,パン類,,,,,,,
152,魚,野菜,乳製品,,,,,,
153,肉,調味料,パン類,,,,,,
154,肉,調味料,パン類,,,,,,
155,飲料,酒類,,,,,,,
156,魚,野菜,雑貨,飲料,酒類,たばこ,パン類,,
157,肉,調味料,パン類,,,,,,
158,肉,魚,雑貨,乳製品,飲料,酒類,,,
159,野菜,乳製品,酒類,,,,,,
160,肉,魚,野菜,雑貨,乳製品,パン類,,,
161,魚,乳製品,パン類,,,,,,
162,肉,雑貨,調味料,乳製品,パン類,,,,
163,野菜,乳製品,パン類,,,,,,
164,野菜,乳製品,,,,,,,
165,肉,調味料,乳製品,パン類,,,,,
166,肉,魚,調味料,,,,,,
167,肉,魚,野菜,調味料,乳製品,飲料,,,
168,肉,野菜,調味料,,,,,,
169,魚,雑貨,,,,,,,
170,野菜,乳製品,,,,,,,
171,野菜,パン類,,,,,,,
172,肉,調味料,,,,,,,
173,魚,雑貨,調味料,,,,,,
174,肉,調味料,,,,,,,
175,肉,乳製品,パン類,,,,,,
176,肉,調味料,パン類,,,,,,
177,魚,野菜,乳製品,,,,,,
178,野菜,乳製品,たばこ,,,,,,
179,魚,野菜,乳製品,,,,,,
180,乳製品,たばこ,,,,,,,
181,魚,雑貨,パン類,,,,,,
182,肉,飲料,酒類,,,,,,
183,魚,酒類,,,,,,,
184,肉,魚,雑貨,調味料,パン類,,,,
185,肉,雑貨,酒類,パン類,,,,,
186,雑貨,酒類,,,,,,,
187,肉,パン類,,,,,,,
188,肉,魚,野菜,雑貨,調味料,乳製品,酒類,パン類,
189,肉,魚,野菜,雑貨,乳製品,パン類,,,
190,魚,雑貨,調味料,酒類,たばこ,パン類,,,
191,肉,パン類,,,,,,,
192,肉,調味料,パン類,,,,,,
193,肉,魚,雑貨,調味料,乳製品,パン類,,,
194,野菜,乳製品,酒類,たばこ,パン類,,,,
195,肉,魚,雑貨,乳製品,パン類,,,,
196,肉,魚,調味料,,,,,,
197,野菜,乳製品,酒類,パン類,,,,,
198,魚,野菜,乳製品,,,,,,
199,雑貨,調味料,パン類,,,,,,
200,魚,雑貨,調味料,乳製品,,,,,
201,野菜,乳製品,パン類,,,,,,
202,肉,魚,調味料,乳製品,パン類,,,,
203,魚,調味料,飲料,,,,,,
204,肉,魚,乳製品,パン類,,,,,
205,肉,雑貨,飲料,酒類,たばこ,,,,
206,魚,雑貨,酒類,,,,,,
207,肉,魚,野菜,雑貨,調味料,乳製品,パン類,,
208,野菜,乳製品,パン類,,,,,,
209,野菜,乳製品,パン類,,,,,,
210,野菜,乳製品,,,,,,,
211,野菜,飲料,,,,,,,
212,肉,魚,野菜,雑貨,乳製品,,,,
213,肉,魚,調味料,乳製品,たばこ,パン類,,,
214,野菜,乳製品,,,,,,,
215,魚,雑貨,飲料,酒類,,,,,
216,野菜,乳製品,,,,,,,
217,魚,野菜,雑貨,飲料,たばこ,,,,
218,魚,飲料,パン類,,,,,,
219,肉,雑貨,酒類,パン類,,,,,
220,肉,野菜,乳製品,飲料,酒類,,,,
221,魚,雑貨,飲料,,,,,,
222,魚,雑貨,飲料,酒類,,,,,
223,魚,飲料,酒類,パン類,,,,,
224,魚,雑貨,酒類,たばこ,パン類,,,,
225,肉,魚,野菜,乳製品,パン類,,,,
226,魚,雑貨,調味料,,,,,,
227,乳製品,酒類,パン類,,,,,,
228,野菜,乳製品,,,,,,,
229,肉,魚,調味料,乳製品,,,,,
230,魚,野菜,飲料,酒類,パン類,,,,
231,肉,魚,雑貨,乳製品,たばこ,パン類,,,
232,魚,野菜,調味料,乳製品,パン類,,,,
233,肉,調味料,パン類,,,,,,
234,肉,調味料,,,,,,,
235,野菜,乳製品,パン類,,,,,,
236,肉,調味料,,,,,,,
237,調味料,パン類,,,,,,,
238,調味料,乳製品,パン類,,,,,,
239,肉,野菜,雑貨,調味料,乳製品,,,,
240,魚,たばこ,,,,,,,
241,肉,魚,野菜,調味料,乳製品,パン類,,,
242,肉,野菜,調味料,乳製品,酒類,,,,
243,肉,野菜,パン類,,,,,,
244,野菜,乳製品,,,,,,,
245,野菜,乳製品,,,,,,,
246,たばこ,パン類,,,,,,,
247,野菜,パン類,,,,,,,
248,野菜,乳製品,パン類,,,,,,
249,野菜,乳製品,パン類,,,,,,
250,野菜,乳製品,飲料,パン類,,,,,
251,野菜,乳製品,,,,,,,
252,野菜,乳製品,,,,,,,
253,肉,野菜,乳製品,飲料,パン類,,,,
254,野菜,乳製品,パン類,,,,,,
255,野菜,乳製品,,,,,,,
256,野菜,パン類,,,,,,,
257,野菜,パン類,,,,,,,
258,肉,野菜,調味料,,,,,,
259,魚,雑貨,酒類,たばこ,,,,,
260,肉,魚,野菜,乳製品,パン類,,,,
261,野菜,乳製品,,,,,,,
262,野菜,乳製品,たばこ,,,,,,
263,野菜,たばこ,,,,,,,
264,野菜,乳製品,パン類,,,,,,
265,肉,雑貨,パン類,,,,,,
266,肉,雑貨,飲料,パン類,,,,,
267,魚,雑貨,飲料,酒類,パン類,,,,
268,肉,魚,野菜,雑貨,調味料,乳製品,,,
269,野菜,乳製品,パン類,,,,,,
270,野菜,乳製品,,,,,,,
271,野菜,乳製品,,,,,,,
272,雑貨,飲料,,,,,,,
273,魚,野菜,雑貨,酒類,,,,,
274,魚,酒類,,,,,,,
275,魚,野菜,雑貨,酒類,,,,,
276,野菜,乳製品,,,,,,,
277,肉,乳製品,,,,,,,
278,肉,野菜,調味料,酒類,パン類,,,,
279,肉,調味料,パン類,,,,,,
280,雑貨,飲料,酒類,たばこ,パン類,,,,
281,魚,雑貨,調味料,飲料,酒類,パン類,,,
282,肉,調味料,パン類,,,,,,
283,肉,魚,乳製品,パン類,,,,,
284,肉,魚,飲料,,,,,,
285,肉,調味料,飲料,,,,,,
286,肉,野菜,調味料,乳製品,パン類,,,,
287,肉,乳製品,パン類,,,,,,
288,野菜,乳製品,パン類,,,,,,
289,肉,調味料,,,,,,,
290,肉,調味料,パン類,,,,,,
291,野菜,パン類,,,,,,,
292,野菜,乳製品,パン類,,,,,,
293,肉,調味料,乳製品,パン類,,,,,
294,肉,魚,野菜,雑貨,調味料,乳製品,パン類,,
295,肉,雑貨,乳製品,パン類,,,,,
296,魚,雑貨,飲料,酒類,たばこ,,,,
297,魚,飲料,酒類,,,,,,
298,魚,酒類,,,,,,,
299,野菜,乳製品,パン類,,,,,,
300,肉,調味料,パン類,,,,,,
301,野菜,乳製品,たばこ,パン類,,,,,
302,魚,野菜,乳製品,,,,,,
303,野菜,乳製品,パン類,,,,,,
304,肉,魚,野菜,パン類,,,,,
305,魚,雑貨,酒類,,,,,,
306,肉,乳製品,パン類,,,,,,
307,野菜,乳製品,パン類,,,,,,
308,雑貨,飲料,酒類,たばこ,パン類,,,,
309,雑貨,飲料,たばこ,,,,,,
310,魚,調味料,酒類,パン類,,,,,
311,魚,雑貨,飲料,,,,,,
312,野菜,乳製品,,,,,,,
313,魚,野菜,乳製品,たばこ,,,,,
314,野菜,飲料,,,,,,,
315,調味料,乳製品,飲料,パン類,,,,,
316,肉,野菜,調味料,パン類,,,,,
317,肉,魚,雑貨,調味料,パン類,,,,
318,野菜,パン類,,,,,,,
319,肉,野菜,乳製品,パン類,,,,,
320,乳製品,パン類,,,,,,,
321,雑貨,調味料,酒類,,,,,,
322,乳製品,たばこ,,,,,,,
323,野菜,パン類,,,,,,,
